clinic_name,category,rating_band,address,phone,specialty,google_place_name,google_rating,google_review_count,open_in_google_maps,latitude,longitude,match_status,review_priority,match_confidence,postal_code,google_postal_code,google_formatted_address,match_notes
LIFEPLUS MEDICAL GROUP (BEDOK),GP,4.0-4.4,BLK 219 BEDOK CENTRAL #01-132 SINGAPORE 460219,69043488,,LifePlus Medical Group (Bedok),4.2,269,https://maps.google.com/?cid=8374505294075485074&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3249404000000002,103.9329324,matched,low,1.0,460219,460219,"219 Bedok Central, #01-132, Singapore 460219",postal code matches; clinic name closely matches; address closely matches
PINNACLE FAMILY CLINIC (BUANGKOK SQUARE),GP,4.0-4.4,BLK 991 BUANGKOK LINK #02-05 BUANGKOK SQUARE SINGAPORE 530991,69099203,,Pinnacle Family Clinic (Buangkok Square),4.2,177,https://maps.google.com/?cid=12746718820577239290&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3844607,103.8816765,matched,low,1.0,530991,530991,"991 Buangkok Link, #02-05 Buangkok Square Mall, Singapore 530991",postal code matches; clinic name closely matches; address closely matches
HMI ONECARE PTE. LTD. (HMI ONECARE CLINIC PUNGGOL PLAZA ),GP,4.0-4.4,BLK 168 PUNGGOL FIELD #02-09A PUNGGOL PLAZA SINGAPORE 820168,69043511,,HMI OneCare Clinic Punggol Plaza,4,465,https://maps.google.com/?cid=4002059581538159681&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3941746,103.91303959999999,matched,low,0.84,820168,820168,"168 Punggol Fld, #02-09A Punggol Plaza, Singapore 820168",postal code matches; clinic name partially matches; address closely matches
THE MEDICAL PRACTICE,GP,4.0-4.4,1 RAFFLES LINK #01-03A SINGAPORE 039393,63329086/ 63329087,,The Medical Practice,4.4,36,https://maps.google.com/?cid=15094043247665279320&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.2917307999999998,103.8556218,matched,low,1.0,039393,039393,"1 Raffles Link, #1 03A, Singapore 039393",postal code matches; clinic name closely matches; address closely matches
HMI ONECARE PTE. LTD. (HMI ONECARE CLINIC ALJUNIED MRT),GP,4.0-4.4,81 LORONG 25 GEYLANG #01-03 ALJUNIED MRT STATION SINGAPORE 388310,69045871,,HMI OneCare Clinic Aljunied MRT,4,179,https://maps.google.com/?cid=1827745128953866428&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3163311000000002,103.8828588,matched,low,0.818,388310,388310,"81 Lor 25 Geylang, #01-03 Aljunied, Singapore 388310",postal code matches; clinic name partially matches; address closely matches
DA CLINIC @ TAMAN JURONG,GP,4.0-4.4,BLK 140 CORPORATION DRIVE #01-03 SINGAPORE 610140,31650145,,DA Clinic @ Taman Jurong,4.2,378,https://maps.google.com/?cid=18306159363879922891&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3267514,103.72356769999999,matched,low,1.0,610140,610140,"140 Corporation Dr, #01-03, Singapore 610140",postal code matches; clinic name closely matches; address closely matches
DR JOYCE & PARTNERS FAMILY CLINIC (TOA PAYOH BRANCH),GP,4.0-4.4,BLK 178 TOA PAYOH CENTRAL #01-224 SINGAPORE 310178,68023507 / 81395130,,Dr Joyce & Partners Family Clinic (Toa Payoh Branch) [Lady Doctors],4.3,48,https://maps.google.com/?cid=6967156707705983841&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3335739,103.8492063,matched,low,0.904,310178,310178,"Toa Payoh Central, Block 178号#01-224 邮政编码: 310178",postal code matches; clinic name closely matches; address partially matches
AFFINITY MEDICAL CLINIC,GP,4.0-4.4,BLK 253 SERANGOON CENTRAL DRIVE #01-187 SINGPAORE 550253,62808080,,Affinity Medical Clinic,4.1,150,https://maps.google.com/?cid=11846771560207413122&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3544136999999998,103.8706953,matched,low,1.0,550253,550253,"Serangoon Central Dr, #01-187 Blk 253, Singapore 550253",postal code matches; clinic name closely matches; address closely matches
HMI ONECARE PTE. LTD. (HMI ONECARE CLINIC FERNVALE),GP,4.0-4.4,BLK 417 FERNVALE LINK #01-10 SINGAPORE 790417,69709302,,HMI OneCare Clinic Fernvale,4,421,https://maps.google.com/?cid=14299239404382211255&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3916507,103.87998859999999,matched,low,0.821,790417,790417,"417 Fernvale Link, #01-10, Singapore 790417",postal code matches; clinic name partially matches; address closely matches
A1 MEDICAL CLINIC,GP,4.0-4.4,BLK 418 BEDOK NORTH AVENUE 2 #01-63 SINGAPORE 460418,64930198,,A1 Medical Clinic (Bedok),4.2,102,https://maps.google.com/?cid=2622873547429293620&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3283356,103.9301083,matched,low,0.916,460418,460418,"418 Bedok North Ave 2, #01-63 Garden Hill, Singapore 460418",postal code matches; clinic name closely matches; address closely matches
BRIDGEPOINT HEALTH (EVERTON),GP,4.0-4.4,1 EVERTON PARK #01-41 SINGAPORE 081001,62262066,,Bridgepoint Health (Everton Park Clinic),4.4,132,https://maps.google.com/?cid=12463660657303223833&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.2774397,103.8400926,matched,low,0.931,081001,081001,"1 Everton Prk, #01-41, Singapore 081001",postal code matches; clinic name partially matches; address closely matches
TRINITY MEDICAL CLINIC (JURONG EAST),GP,4.0-4.4,BLK 130 JURONG GATEWAY ROAD #02-205 SINGAPORE 600130,65607088,,Trinity Medical Clinic and Dental Surgery,4.4,679,https://maps.google.com/?cid=12236442932204233246&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3351188999999999,103.7393198,matched,low,0.813,600130,600130,"Blk 130 Jurong Gateway Rd, #02-205/207, Singapore 600130",postal code matches; clinic name partially matches; address closely matches
LIM CLINIC,GP,4.0-4.4,295 CHANGI ROAD SINGAPORE 419773,67426335,,Lim Clinic,4.2,92,https://maps.google.com/?cid=11389208240784341462&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3181711999999999,103.90710360000001,matched,low,1.0,419773,419773,"295 Changi Rd, Singapore 419773",postal code matches; clinic name closely matches; address closely matches
FAMICARE BEDOK CLINIC,GP,4.0-4.4,BLK 158 BEDOK SOUTH AVE 3 #01-581 SINGAPORE 460158,64428373,,Famicare Bedok Clinic,4,124,https://maps.google.com/?cid=11961238724837771347&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3187668000000001,103.9450566,matched,low,1.0,460158,460158,"158 Bedok South Ave 3, #01-581, Singapore 460158",postal code matches; clinic name closely matches; address closely matches
CITYGP FAMILY CLINIC,GP,4.0-4.4,BLK 122 BEDOK NORTH STREET 2 #01-106 SINGAPORE 460122,62414702,,CityGP Family Clinic (bedok),4,101,https://maps.google.com/?cid=6914200130624501621&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3286194999999998,103.93769599999999,matched,low,0.96,460122,460122,"122 Bedok North Street 2, #01-106, Singapore 460122",postal code matches; clinic name closely matches; address closely matches
T MEDICAL CLINIC (KALLANG),GP,4.0-4.4,BLK 5 UPPER BOON KENG ROAD #01-14 KALLANG HEIGHTS SINGAPORE 380005,69700882,,T Medical Clinic (Kallang),4.3,126,https://maps.google.com/?cid=13476753359780959591&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3124126,103.87213129999999,matched,low,1.0,380005,380005,"5 Upper Boon Keng Rd, #01-14, Singapore 380005",postal code matches; clinic name closely matches; address closely matches
