clinic_name,category,rating_band,address,phone,specialty,google_place_name,google_rating,google_review_count,open_in_google_maps,latitude,longitude,match_status,review_priority,match_confidence,postal_code,google_postal_code,google_formatted_address,match_notes
ASIA DIGESTIVE ASSOCIATES @ NAPIER,Specialist,4.5+,6 NAPIER ROAD #09-11 GLENEAGLES MEDICAL CENTRE SINGAPORE 258499,69708494,GASTROENTEROLOGY,Asia Digestive Associates @ Napier,4.9,87,https://maps.google.com/?cid=11557682760682252826&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3076257,103.82020120000001,matched,low,1.0,258499,258499,"6 Napier Rd, #10-03 Gleneagles Medical Centre, Singapore 258499",postal code matches; clinic name closely matches; address closely matches
AVANT SPINE SURGERY CLINIC (NOVENA),Specialist,4.5+,38 IRRAWADDY ROAD #05-31 MT ELIZABETH NOVENA MEDICAL CENTRE SINGAPORE 329563,62623616,ORTHOPAEDIC,Avant Orthopaedics @ Novena,5,101,https://maps.google.com/?cid=15906130882944742101&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3223669999999998,103.8446677,address_only,medium,0.674,329563,329563,"Suite 05-31 Mount Elizabeth Novena Specialist Centre, 38 Irrawaddy Rd, Singapore 329563",postal code matches; clinic name differs; address partially matches
"AVANT SPORTS, SHOULDER AND ELBOW SURGERY CLINIC (NOVENA)",Specialist,4.5+,38 IRRAWADDY ROAD #05-31 MOUNT ELIZABETH NOVENA SPECIALIST CENTRE SINGAPORE 329563,62623616,ORTHOPAEDIC,Shoulder Elbow Orthopaedic Clinic (Novena),4.9,57,https://maps.google.com/?cid=2045573683936334797&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.322244,103.844043,name_match_address_partial,medium,0.777,329563,329563,"38 Irrawaddy Rd, #08-28 Mt Elizabeth Novena Specialist Centre, Singapore 329563",postal code matches; clinic name partially matches; address closely matches
ADULT & CHILD ENT SPECIALISTS,Specialist,4.5+,1 FARRER PARK STATION ROAD #14-04 CONNEXION SINGAPORE 217562,69709408,EAR NOSE THROAT,Dr Soon Sue Rene - SOON Adult Child ENT Specialist Clinic.,5,10,https://maps.google.com/?cid=46115383328904483&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3125086,103.85440849999999,address_only,medium,0.724,217562,217562,"1 Farrer Park Station Road Farrer Park Medical Centre, #07-14 Connexion, Singapore 217562",postal code matches; clinic name differs; address closely matches
ADVANCED UROLOGY ASSOCIATES (MT ALVERNIA),Specialist,4.5+,820 THOMSON ROAD MOUNT ALVERNIA HOSPITAL #02-01 MEDICAL CENTRE A SINGAPORE 574623,6653 5066,UROLOGY,Advanced Urology (Mt Alvernia),5,24,https://maps.google.com/?cid=758490588299710676&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3421322,103.83792509999999,matched,low,0.866,574623,574623,"820 Thomson Road #02-01 Mount Alvernia Medical Centre, A, Singapore 574623",postal code matches; clinic name closely matches; address closely matches
"ADVANCED HAND, WRIST & NERVE CENTRE",Specialist,4.5+,38 IRRAWADDY ROAD #08-62/63 MOUNTH ELIZABETH NOVENA SPECIALIST CENTRE SINGAPORE 329563,65925522,ORTHOPAEDIC,"Advanced Hand, Wrist & Nerve Centre",5,195,https://maps.google.com/?cid=16344121777098213341&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.322236,103.84403879999999,matched,low,0.955,329563,329563,"38 Irrawaddy Rd, #07-42, Singapore 329563",postal code matches; clinic name closely matches; address partially matches
ALIVEO MEDICAL NOVENA PTE LTD,Specialist,4.5+,38 IRRAWADDY ROAD #09-44 MOUNT ELIZABETH NOVENA SINGAPORE 329563,62688360,GASTROENTEROLOGY,AliveoMedical Novena Branch,5,55,https://maps.google.com/?cid=3315780330531973510&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.322236,103.84403879999999,matched,low,0.788,329563,329563,"38 Irrawaddy Rd, #09-44, Singapore 329563",postal code matches; clinic name partially matches; address closely matches
ALIVEO MEDICAL THOMSON PTE LTD,Specialist,4.5+,820 THOMSON ROAD MOUNT ALVERNIA HOSPITAL #06-01 MEDICAL CENTRE A SINGAPORE 574623,62557336,GASTROENTEROLOGY,AliveoMedical Thomson Branch,5,31,https://maps.google.com/?cid=12200287635852600416&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3416367999999999,103.8372638,name_match_address_partial,medium,0.771,574623,574623,"820 Thomson Rd, Block A, #06-01, Singapore 574623",postal code matches; clinic name partially matches; address partially matches
ALIVEO MEDICAL ORCHARD PTE LTD,Specialist,4.5+,3 MT ELIZABETH #16-16 MT ELIZABETH MEDICAL CENTRE SINGAPORE 228510,62356136,GASTROENTEROLOGY,AliveoMedical Orchard Branch,5,43,https://maps.google.com/?cid=6817097926240919077&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3044638,103.8352673,matched,low,0.782,228510,228510,"3 Mount Elizabeth, #16-16, Singapore 228510",postal code matches; clinic name partially matches; address partially matches
ADVANCED ORTHOPAEDIC & SPORTS CENTRE (AOSC) PTE.LTD.,Specialist,4.5+,38 IRRAWADDY ROAD #08-62/63 MOUNT ELIZABETH NOVENA SPECIALIST CENTRE SINGAPORE 329563,65925525,ORTHOPAEDIC,Singapore Sports and Orthopaedic Clinic (SSOC) | Novena Branch,5,7,https://maps.google.com/?cid=435260601055847300&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.322236,103.84403879999999,address_only,medium,0.658,329563,329563,"38 Irrawaddy Rd, #08-63 Mount Elizabeth Novena Specialist, Singapore 329563",postal code matches; clinic name differs; address closely matches
ACE CARDIOLOGY CLINIC,Specialist,4.5+,3 MT ELIZABETH #17-18 MT ELIZABETH MEDICAL CENTRE SINGAPORE 228510,62357536,CARDIOLOGY,Ace Cardiology Clinic: Singapore Cardiologist,4.8,53,https://maps.google.com/?cid=17297094151590790100&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3054017999999998,103.8354823,matched,low,0.8,228510,228510,"3 Mount Elizabeth, #17-18 Medical Centre, Singapore 228510",postal code matches; clinic name differs; address closely matches
ADVANCED EYE CLINIC & SURGERY,Specialist,4.5+,3 MT ELIZABETH #16-14 MT ELIZABETH MEDICAL CENTRE SINGAPORE 228510,68873366,OPHTHALMOLOGY,Dr Rosman @Advanced Eye Clinic Surgery,5,118,https://maps.google.com/?cid=14126761793039207938&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3044913,103.8352876,matched,low,0.911,228510,228510,"3 Mount Elizabeth, #13-12 Medical Center, Singapore 228510",postal code matches; clinic name closely matches; address closely matches
ADVANCED COLORECTAL AND GENERAL SURGERY,Specialist,4.5+,820 THOMSON ROAD #01-06 MOUNT ALVERNIA HOSPITAL SINGAPORE 574623,62525083,COLORECTAL,Advanced Colorectal and General Surgery - Dr Leong Quor Meng,5,214,https://maps.google.com/?cid=15926193521613888738&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1.3416367999999999,103.8372638,matched,low,0.882,574623,574623,"820 Thomson Road Mount Alvernia Hospital Medical Centre A 01-06, Singapore 574623",postal code matches; clinic name partially matches; address closely matches
